"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 09- 29","12,601,000","12,467,000","12,601,000","12,449,000","2.48K","1.07%"
"2020- 09- 28","12,468,000","12,514,000","12,674,000","12,468,000","2.92K","-0.38%"
"2020- 09- 27","12,515,000","12,506,000","12,531,000","12,506,000","1.41K","0.07%"
"2020- 09- 26","12,506,000","12,455,000","12,506,000","12,455,000","1.27K","0.40%"
"2020- 09- 25","12,456,000","12,509,000","12,509,000","12,456,000","2.90K","-0.35%"
"2020- 09- 24","12,500,000","11,943,000","12,504,000","11,943,000","3.11K","4.66%"
"2020- 09- 23","11,943,000","12,345,000","12,345,000","11,943,000","2.51K","-3.25%"
"2020- 09- 22","12,344,000","12,290,000","12,344,000","12,233,000","2.50K","0.48%"
"2020- 09- 21","12,285,000","12,819,000","12,819,000","12,285,000","3.82K","-4.17%"
"2020- 09- 20","12,819,000","12,923,000","12,923,000","12,819,000","1.79K","-0.94%"
"2020- 09- 19","12,940,000","12,777,000","12,940,000","12,777,000","2.08K","1.18%"
"2020- 09- 18","12,789,000","12,811,000","12,811,000","12,752,000","2.28K","-0.16%"
"2020- 09- 17","12,810,000","12,906,000","12,906,000","12,713,000","3.23K","-0.77%"
"2020- 09- 16","12,910,000","12,798,000","12,910,000","12,798,000","3.85K","0.84%"
"2020- 09- 15","12,803,000","12,657,000","12,840,000","12,657,000","3.68K","1.14%"
"2020- 09- 14","12,659,000","12,370,000","12,659,000","12,370,000","2.81K","2.28%"
"2020- 09- 13","12,377,000","12,379,000","12,538,000","12,300,000","2.56K","-0.07%"
"2020- 09- 12","12,386,000","12,336,000","12,386,000","12,330,000","1.69K","0.45%"
"2020- 09- 11","12,331,000","12,328,000","12,331,000","12,281,000","2.59K","0.02%"
"2020- 09- 10","12,328,000","12,189,000","12,328,000","12,189,000","4.15K","1.14%"
"2020- 09- 09","12,189,000","12,130,000","12,200,000","12,130,000","2.86K","0.57%"
"2020- 09- 08","12,120,000","12,388,000","12,388,000","12,000,000","3.34K","-2.16%"
"2020- 09- 07","12,388,000","12,353,000","12,388,000","11,956,000","3.42K","0.30%"
"2020- 09- 06","12,351,000","12,383,000","12,383,000","12,218,000","2.82K","-0.25%"
"2020- 09- 05","12,382,000","12,639,000","12,669,000","12,253,000","4.16K","-1.96%"
"2020- 09- 04","12,630,000","12,310,000","12,630,000","12,310,000","6.54K","2.52%"
"2020- 09- 03","12,320,000","13,584,000","13,584,000","12,320,000","7.22K","-9.31%"
"2020- 09- 02","13,584,000","13,972,000","13,972,000","13,447,000","5.82K","-2.76%"
"2020- 09- 01","13,970,000","13,740,000","13,970,000","13,680,000","4.84K","1.67%"
"2020- 08- 31","13,740,000","13,671,000","13,740,000","13,665,000","3.16K","0.52%"
"2020- 08- 30","13,669,000","13,466,000","13,673,000","13,466,000","2.40K","1.48%"
