"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 10- 23","74,846,000","74,261,000","75,428,000","73,164,000","0.68K","0.76%"
"2021- 10- 22","74,282,000","76,169,000","77,363,000","73,785,000","1.04K","-2.48%"
"2021- 10- 21","76,169,000","79,680,000","80,458,000","76,150,000","1.25K","-4.41%"
"2021- 10- 20","79,680,000","78,685,000","81,341,000","77,822,000","1.03K","1.26%"
"2021- 10- 19","78,685,000","76,529,000","79,062,000","75,771,000","0.87K","2.83%"
"2021- 10- 18","76,519,000","75,920,000","77,093,000","74,128,000","1.20K","0.81%"
"2021- 10- 17","75,904,000","74,814,000","76,157,000","73,714,000","0.84K","1.44%"
"2021- 10- 16","74,826,000","75,650,000","76,198,000","73,900,000","0.93K","-1.13%"
"2021- 10- 15","75,684,000","69,746,000","76,999,000","69,382,000","1.77K","8.51%"
"2021- 10- 14","69,746,000","69,900,000","71,396,000","69,249,000","0.87K","-0.21%"
"2021- 10- 13","69,891,000","69,195,000","70,631,000","66,863,000","1.02K","0.99%"
"2021- 10- 12","69,204,000","70,940,000","71,152,000","67,213,000","1.25K","-2.45%"
"2021- 10- 11","70,940,000","67,718,000","71,466,000","67,500,000","1.15K","4.76%"
"2021- 10- 10","67,718,000","67,032,000","69,000,000","66,323,000","1.03K","1.02%"
"2021- 10- 09","67,032,000","65,971,000","67,715,000","65,678,000","0.97K","1.61%"
"2021- 10- 08","65,971,000","65,487,000","68,106,000","65,219,000","1.21K","0.74%"
"2021- 10- 07","65,486,000","67,089,000","67,235,000","65,225,000","1.24K","-2.39%"
"2021- 10- 06","67,089,000","61,778,000","67,664,000","61,144,000","1.43K","8.58%"
"2021- 10- 05","61,785,000","59,947,000","62,474,000","59,509,000","1.31K","3.07%"
"2021- 10- 04","59,947,000","58,472,000","60,230,000","57,337,000","1.08K","2.52%"
"2021- 10- 03","58,472,000","58,124,000","59,316,000","57,290,000","0.83K","0.60%"
"2021- 10- 02","58,124,000","58,367,000","58,979,000","57,701,000","0.74K","-0.42%"
"2021- 10- 01","58,367,000","53,485,000","58,550,000","52,986,000","1.37K","9.13%"
"2021- 09- 30","53,485,000","50,807,000","53,620,000","50,702,000","0.81K","5.27%"
"2021- 09- 29","50,807,000","50,307,000","51,812,000","49,898,000","0.76K","0.98%"
"2021- 09- 28","50,313,000","51,769,000","52,071,000","50,200,000","0.85K","-2.81%"
"2021- 09- 27","51,770,000","52,763,000","53,729,000","51,688,000","0.81K","-1.88%"
"2021- 09- 26","52,763,000","52,291,000","53,548,000","50,997,000","1.08K","0.86%"
"2021- 09- 25","52,315,000","52,153,000","52,395,000","51,002,000","0.72K","0.31%"
"2021- 09- 24","52,153,000","54,367,000","54,587,000","50,737,000","2.04K","-4.06%"
"2021- 09- 23","54,362,000","53,881,000","54,631,000","52,587,000","1.15K","0.89%"
"2021- 09- 22","53,881,000","50,669,000","54,168,000","50,087,000","1.75K","6.34%"
"2021- 09- 21","50,669,000","53,807,000","54,258,000","50,131,000","2.12K","-5.83%"
"2021- 09- 20","53,807,000","57,998,000","58,096,000","53,403,000","1.81K","-7.23%"
"2021- 09- 19","57,998,000","58,601,000","58,737,000","57,355,000","0.72K","-1.06%"
"2021- 09- 18","58,617,000","57,610,000","58,915,000","57,544,000","0.88K","1.75%"
"2021- 09- 17","57,610,000","57,258,000","57,786,000","56,900,000","1.15K","0.61%"
"2021- 09- 16","57,258,000","57,088,000","57,503,000","56,341,000","0.88K","0.30%"
"2021- 09- 15","57,087,000","56,540,000","57,600,000","55,936,000","1.07K","0.93%"
"2021- 09- 14","56,563,000","54,276,000","56,801,000","54,055,000","1.22K","4.22%"
"2021- 09- 13","54,274,000","55,061,000","56,610,000","53,529,000","1.63K","-1.46%"
"2021- 09- 12","55,080,000","54,719,000","55,530,000","54,247,000","1.09K","0.67%"
"2021- 09- 11","54,714,000","54,915,000","55,400,000","54,315,000","0.89K","-0.38%"
"2021- 09- 10","54,920,000","55,857,000","56,694,000","54,502,000","1.85K","-1.67%"
"2021- 09- 09","55,853,000","55,586,000","56,340,000","54,663,000","1.69K","0.47%"
"2021- 09- 08","55,591,000","56,636,000","57,263,000","53,060,000","1.70K","-1.86%"
"2021- 09- 07","56,645,000","60,849,000","61,050,000","54,386,000","2.24K","-6.91%"
"2021- 09- 06","60,849,000","59,270,000","61,024,000","58,803,000","1.19K","2.66%"
"2021- 09- 05","59,270,000","57,902,000","59,565,000","57,229,000","1.12K","2.36%"
"2021- 09- 04","57,902,000","57,822,000","58,448,000","57,277,000","0.90K","0.17%"
"2021- 09- 03","57,802,000","57,240,000","59,136,000","56,400,000","1.79K","0.98%"
"2021- 09- 02","57,241,000","56,433,000","58,349,000","56,194,000","1.05K","1.43%"
"2021- 09- 01","56,435,000","55,140,000","56,956,000","54,481,000","1.31K","2.30%"
"2021- 08- 31","55,164,000","55,646,000","56,354,000","54,977,000","1.57K","-0.89%"
"2021- 08- 30","55,659,000","57,224,000","57,300,000","55,380,000","1.30K","-2.71%"
"2021- 08- 29","57,212,000","57,416,000","58,028,000","56,374,000","1.20K","-0.36%"
"2021- 08- 28","57,416,000","57,426,000","57,872,000","56,625,000","0.83K","-0.02%"
"2021- 08- 27","57,426,000","55,238,000","57,646,000","54,597,000","1.40K","3.96%"
"2021- 08- 26","55,238,000","57,171,000","57,448,000","54,503,000","1.29K","-3.38%"
"2021- 08- 25","57,170,000","56,102,000","57,328,000","55,120,000","1.29K","1.89%"
"2021- 08- 24","56,111,000","57,650,000","57,843,000","55,835,000","1.51K","-2.72%"
"2021- 08- 23","57,677,000","57,680,000","58,676,000","57,426,000","1.36K","-0.04%"
"2021- 08- 22","57,699,000","57,537,000","58,048,000","56,616,000","1.17K","0.35%"
"2021- 08- 21","57,500,000","57,661,000","58,241,000","56,801,000","1.35K","-0.28%"
"2021- 08- 20","57,664,000","54,878,000","57,939,000","54,719,000","1.34K","5.11%"
"2021- 08- 19","54,863,000","52,697,000","55,000,000","51,946,000","1.48K","4.12%"
"2021- 08- 18","52,691,000","52,632,000","53,733,000","51,900,000","2.67K","0.11%"
"2021- 08- 17","52,632,000","53,814,000","54,592,000","52,510,000","1.88K","-2.20%"
"2021- 08- 16","53,814,000","54,632,000","55,677,000","53,708,000","1.70K","-1.50%"
"2021- 08- 15","54,632,000","54,908,000","55,179,000","53,322,000","1.98K","-0.49%"
"2021- 08- 14","54,899,000","55,281,000","55,708,000","53,555,000","2.03K","-0.72%"
"2021- 08- 13","55,298,000","52,063,000","55,391,000","51,838,000","1.73K","6.21%"
"2021- 08- 12","52,065,000","52,558,000","53,352,000","51,416,000","2.05K","-0.96%"
"2021- 08- 11","52,570,000","52,330,000","53,487,000","52,208,000","1.94K","0.43%"
"2021- 08- 10","52,346,000","52,925,000","53,442,000","51,825,000","1.29K","-1.11%"
"2021- 08- 09","52,935,000","50,810,000","53,164,000","49,550,000","1.51K","4.18%"
"2021- 08- 08","50,810,000","50,982,000","51,725,000","50,168,000","1.27K","-0.34%"
"2021- 08- 07","50,982,000","49,350,000","51,150,000","49,077,000","1.57K","3.31%"
"2021- 08- 06","49,350,000","47,144,000","49,911,000","46,179,000","1.30K","4.68%"
"2021- 08- 05","47,144,000","45,752,000","47,658,000","43,815,000","1.35K","3.04%"
"2021- 08- 04","45,752,000","44,880,000","46,049,000","43,958,000","1.01K","1.94%"
"2021- 08- 03","44,880,000","45,409,000","46,130,000","44,366,000","1.07K","-1.16%"
"2021- 08- 02","45,409,000","46,278,000","46,792,000","45,071,000","1.13K","-1.85%"
"2021- 08- 01","46,267,000","47,991,000","49,400,000","46,059,000","1.17K","-3.59%"
"2021- 07- 31","47,991,000","48,573,000","48,747,000","47,631,000","0.91K","-1.20%"
"2021- 07- 30","48,573,000","45,923,000","48,655,000","44,365,000","1.36K","5.77%"
"2021- 07- 29","45,923,000","46,353,000","46,925,000","45,462,000","1.03K","-0.93%"
"2021- 07- 28","46,353,000","45,543,000","47,416,000","45,030,000","1.78K","1.79%"
"2021- 07- 27","45,539,000","43,032,000","45,579,000","42,054,000","1.30K","5.83%"
"2021- 07- 26","43,032,000","41,091,000","46,812,000","40,873,000","2.20K","4.75%"
"2021- 07- 25","41,082,000","40,460,000","41,104,000","39,620,000","0.80K","3.76%"
"2021- 07- 24","39,592,000","39,106,000","39,826,000","38,926,000","0.94K","1.26%"
"2021- 07- 23","39,099,000","37,887,000","39,099,000","37,759,000","1.09K","3.20%"
"2021- 07- 22","37,887,000","38,011,000","38,393,000","37,432,000","0.99K","-0.35%"
"2021- 07- 21","38,020,000","35,252,000","38,380,000","34,929,000","1.79K","7.85%"
"2021- 07- 20","35,252,000","36,750,000","36,888,000","34,777,000","1.29K","-4.06%"
"2021- 07- 19","36,745,000","37,628,000","37,686,000","36,393,000","0.93K","-2.31%"
"2021- 07- 18","37,614,000","37,195,000","38,153,000","36,957,000","0.64K","1.11%"
"2021- 07- 17","37,200,000","37,135,000","37,628,000","36,810,000","0.94K","0.18%"
"2021- 07- 16","37,135,000","37,595,000","38,021,000","36,700,000","1.09K","-1.22%"
"2021- 07- 15","37,595,000","38,596,000","39,032,000","37,035,000","0.95K","-2.59%"
"2021- 07- 14","38,596,000","38,749,000","38,981,000","37,531,000","1.13K","-0.39%"
"2021- 07- 13","38,749,000","39,164,000","39,326,000","38,231,000","0.81K","-1.06%"
"2021- 07- 12","39,165,000","40,190,000","40,553,000","38,812,000","1.06K","-2.55%"
"2021- 07- 11","40,190,000","39,594,000","40,560,000","39,263,000","0.66K","1.51%"
"2021- 07- 10","39,594,000","39,834,000","40,269,000","39,201,000","0.77K","-0.60%"
"2021- 07- 09","39,834,000","39,008,000","40,087,000","38,307,000","1.39K","2.16%"
"2021- 07- 08","38,990,000","39,717,000","39,823,000","38,155,000","1.48K","-1.87%"
"2021- 07- 07","39,732,000","39,860,000","40,742,000","39,673,000","0.76K","-0.13%"
"2021- 07- 06","39,785,000","39,495,000","40,077,000","39,495,000","1.27K","0.77%"
"2021- 07- 05","39,482,000","40,913,000","40,913,000","39,482,000","1.45K","-3.50%"
"2021- 07- 04","40,913,000","41,180,000","41,210,000","40,913,000","0.91K","1.51%"
"2021- 07- 03","40,304,000","39,402,000","40,304,000","39,402,000","0.82K","2.29%"
"2021- 07- 02","39,400,000","39,349,000","39,400,000","39,349,000","1.24K","0.13%"
"2021- 07- 01","39,350,000","40,692,000","40,692,000","38,971,000","1.57K","-3.30%"
"2021- 06- 30","40,694,000","41,513,000","41,513,000","40,629,000","1.88K","-2.03%"
"2021- 06- 29","41,539,000","39,991,000","41,539,000","39,991,000","2.10K","3.90%"
"2021- 06- 28","39,981,000","39,961,000","39,981,000","39,532,000","1.93K","0.10%"
"2021- 06- 27","39,943,000","37,700,000","39,943,000","37,700,000","1.67K","5.95%"
"2021- 06- 26","37,700,000","37,127,000","37,700,000","37,127,000","2.19K","1.56%"
"2021- 06- 25","37,122,000","40,127,000","40,127,000","37,122,000","2.33K","-7.49%"
"2021- 06- 24","40,128,000","39,049,000","40,128,000","39,049,000","1.84K","2.76%"
"2021- 06- 23","39,049,000","37,814,000","39,049,000","37,814,000","3.02K","3.29%"
"2021- 06- 22","37,804,000","37,217,000","37,804,000","37,217,000","5.65K","1.57%"
"2021- 06- 21","37,220,000","41,849,000","41,849,000","37,220,000","4.00K","-11.07%"
"2021- 06- 20","41,855,000","42,062,000","42,062,000","41,855,000","1.82K","-0.48%"
"2021- 06- 19","42,056,000","42,524,000","42,524,000","42,056,000","1.23K","-1.07%"
"2021- 06- 18","42,512,000","44,772,000","44,772,000","42,512,000","1.69K","-5.05%"
"2021- 06- 17","44,772,000","45,238,000","45,812,000","44,772,000","1.31K","-1.03%"
"2021- 06- 16","45,238,000","46,384,000","46,384,000","45,120,000","1.49K","-2.46%"
"2021- 06- 15","46,377,000","46,499,000","46,499,000","46,188,000","1.67K","-0.26%"
"2021- 06- 14","46,499,000","44,784,000","46,499,000","44,784,000","1.92K","3.83%"
"2021- 06- 13","44,784,000","41,374,000","44,784,000","41,374,000","1.90K","8.24%"
"2021- 06- 12","41,374,000","43,582,000","43,582,000","41,374,000","2.07K","-5.07%"
"2021- 06- 11","43,582,000","42,775,000","43,582,000","42,635,000","2.15K","1.89%"
"2021- 06- 10","42,775,000","43,222,000","43,222,000","42,775,000","2.85K","-1.05%"
"2021- 06- 09","43,227,000","38,450,000","43,227,000","38,450,000","3.49K","12.42%"
"2021- 06- 08","38,450,000","38,954,000","38,954,000","38,450,000","2.50K","-1.29%"
"2021- 06- 07","38,954,000","41,755,000","41,755,000","38,954,000","1.69K","-6.71%"
"2021- 06- 06","41,754,000","41,958,000","41,958,000","41,754,000","1.32K","-0.49%"
"2021- 06- 05","41,958,000","42,918,000","42,918,000","41,958,000","1.76K","-2.24%"
"2021- 06- 04","42,918,000","45,439,000","45,439,000","42,918,000","2.55K","-5.55%"
"2021- 06- 03","45,439,000","43,716,000","45,439,000","43,716,000","2.10K","3.93%"
"2021- 06- 02","43,719,000","43,201,000","43,719,000","43,201,000","2.07K","1.20%"
"2021- 06- 01","43,201,000","43,623,000","43,623,000","43,201,000","2.02K","-0.98%"
"2021- 05- 31","43,629,000","43,172,000","43,629,000","41,961,000","2.67K","1.06%"
"2021- 05- 30","43,171,000","42,691,000","43,171,000","42,491,000","2.45K","1.12%"
"2021- 05- 29","42,691,000","43,602,000","43,602,000","42,691,000","2.72K","-2.09%"
"2021- 05- 28","43,602,000","46,594,000","46,594,000","43,602,000","3.15K","-6.37%"
"2021- 05- 27","46,569,000","47,248,000","47,282,000","46,569,000","2.59K","-1.44%"
"2021- 05- 26","47,247,000","46,929,000","47,247,000","46,929,000","3.32K","0.65%"
"2021- 05- 25","46,942,000","47,109,000","47,180,000","46,942,000","5.05K","-0.34%"
"2021- 05- 24","47,102,000","42,433,000","47,102,000","42,433,000","5.71K","10.93%"
"2021- 05- 23","42,462,000","47,309,000","47,309,000","42,462,000","6.83K","-10.22%"
"2021- 05- 22","47,296,000","48,915,000","48,915,000","45,560,000","5.46K","-3.33%"
"2021- 05- 21","48,923,000","51,194,000","51,194,000","48,923,000","6.94K","-4.49%"
"2021- 05- 20","51,225,000","50,311,000","51,225,000","49,295,000","7.69K","2.07%"
"2021- 05- 19","50,188,000","53,150,000","53,150,000","50,188,000","9.70K","-5.57%"
"2021- 05- 18","53,150,000","53,924,000","53,924,000","53,150,000","3.75K","-1.47%"
"2021- 05- 17","53,943,000","57,531,000","57,531,000","53,943,000","6.29K","-6.26%"
"2021- 05- 16","57,543,000","58,300,000","59,832,000","57,543,000","4.50K","-1.39%"
"2021- 05- 15","58,353,000","61,569,000","61,569,000","58,353,000","4.24K","-5.19%"
"2021- 05- 14","61,550,000","62,855,000","62,855,000","61,550,000","2.86K","-2.11%"
"2021- 05- 13","62,877,000","61,704,000","62,909,000","61,704,000","6.53K","1.79%"
"2021- 05- 12","61,774,000","69,506,000","69,506,000","61,774,000","3.89K","-11.12%"
"2021- 05- 11","69,506,000","70,801,000","70,801,000","67,815,000","3.93K","-1.81%"
"2021- 05- 10","70,790,000","71,318,000","71,318,000","70,790,000","4.49K","-0.76%"
"2021- 05- 09","71,331,000","71,598,000","71,598,000","71,297,000","3.71K","-0.37%"
