"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 08- 30","13,654,000","13,432,000","13,654,000","13,432,000","0.60K","1.65%"
"2020- 08- 29","13,432,000","13,521,000","13,529,000","13,432,000","0.46K","-0.67%"
"2020- 08- 28","13,522,000","13,402,000","13,522,000","13,402,000","0.56K","0.81%"
"2020- 08- 27","13,413,000","13,538,000","13,538,000","13,400,000","0.95K","-0.92%"
"2020- 08- 26","13,538,000","13,475,000","13,538,000","13,475,000","0.57K","0.50%"
"2020- 08- 25","13,471,000","13,842,000","13,842,000","13,471,000","1.51K","-2.68%"
"2020- 08- 24","13,842,000","13,801,000","13,842,000","13,801,000","0.34K","0.30%"
"2020- 08- 23","13,801,000","13,841,000","13,841,000","13,707,000","0.50K","-0.30%"
"2020- 08- 22","13,843,000","13,767,000","13,843,000","13,559,000","0.60K","0.50%"
"2020- 08- 21","13,774,000","13,944,000","13,944,000","13,774,000","1.39K","-1.22%"
"2020- 08- 20","13,944,000","13,872,000","13,944,000","13,872,000","0.64K","0.52%"
"2020- 08- 19","13,872,000","14,004,000","14,004,000","13,865,000","1.09K","-0.89%"
"2020- 08- 18","13,996,000","14,181,000","14,222,000","13,996,000","1.10K","-1.30%"
"2020- 08- 17","14,181,000","13,886,000","14,181,000","13,848,000","2.33K","2.12%"
"2020- 08- 16","13,886,000","13,881,000","13,886,000","13,804,000","0.77K","0.10%"
"2020- 08- 15","13,872,000","13,830,000","14,018,000","13,830,000","1.01K","0.30%"
"2020- 08- 14","13,830,000","13,820,000","13,830,000","13,820,000","1.24K","0.10%"
"2020- 08- 13","13,816,000","13,681,000","13,816,000","13,494,000","1.94K","0.99%"
"2020- 08- 12","13,681,000","13,610,000","13,681,000","13,595,000","0.84K","0.52%"
"2020- 08- 11","13,610,000","13,999,000","13,999,000","13,610,000","2.22K","-2.76%"
"2020- 08- 10","13,997,000","13,813,000","13,997,000","13,813,000","0.80K","1.33%"
"2020- 08- 09","13,813,000","13,868,000","13,872,000","13,813,000","0.69K","-0.40%"
"2020- 08- 08","13,868,000","13,762,000","13,868,000","13,762,000","0.65K","0.77%"
"2020- 08- 07","13,762,000","13,862,000","13,935,000","13,762,000","1.39K","-0.74%"
"2020- 08- 06","13,865,000","13,851,000","13,865,000","13,851,000","0.89K","0.10%"
"2020- 08- 05","13,851,000","13,310,000","13,851,000","13,310,000","1.17K","4.06%"
"2020- 08- 04","13,310,000","13,273,000","13,361,000","13,273,000","0.71K","0.26%"
"2020- 08- 03","13,275,000","13,034,000","13,275,000","13,034,000","1.19K","1.85%"
"2020- 08- 02","13,034,000","13,934,000","13,934,000","13,034,000","1.08K","-6.46%"
"2020- 08- 01","13,934,000","13,408,000","13,934,000","13,408,000","1.68K","3.92%"
"2020- 07- 31","13,408,000","13,100,000","13,408,000","13,100,000","1.76K","2.35%"
"2020- 07- 30","13,100,000","13,118,000","13,118,000","12,983,000","1.09K","-0.14%"
"2020- 07- 29","13,118,000","12,761,000","13,118,000","12,761,000","1.66K","2.81%"
"2020- 07- 28","12,760,000","12,913,000","13,074,000","12,760,000","1.42K","-1.16%"
"2020- 07- 27","12,910,000","11,701,000","12,910,000","11,701,000","5.19K","10.33%"
"2020- 07- 26","11,701,000","11,470,000","11,701,000","11,437,000","0.67K","2.01%"
"2020- 07- 25","11,470,000","11,334,000","11,470,000","11,334,000","0.78K","1.20%"
"2020- 07- 24","11,334,000","11,330,000","11,334,000","11,269,000","0.78K","0.04%"
"2020- 07- 23","11,330,000","11,261,000","11,330,000","11,261,000","0.83K","0.64%"
"2020- 07- 22","11,258,000","11,120,000","11,258,000","11,104,000","0.98K","1.24%"
"2020- 07- 21","11,120,000","10,943,000","11,120,000","10,943,000","0.50K","1.62%"
"2020- 07- 20","10,943,000","10,937,000","10,943,000","10,937,000","0.44K","0.03%"
"2020- 07- 19","10,940,000","10,913,000","10,940,000","10,888,000","0.57K","0.31%"
"2020- 07- 18","10,906,000","10,927,000","10,927,000","10,906,000","0.33K","-0.19%"
"2020- 07- 17","10,927,000","10,929,000","10,929,000","10,879,000","0.31K","-0.02%"
"2020- 07- 16","10,929,000","10,975,000","10,975,000","10,929,000","0.47K","-0.42%"
"2020- 07- 15","10,975,000","11,006,000","11,006,000","10,973,000","0.47K","-0.28%"
"2020- 07- 14","11,006,000","11,000,000","11,006,000","10,970,000","0.58K","0.05%"
"2020- 07- 13","11,000,000","11,022,000","11,022,000","11,000,000","0.97K","-0.20%"
"2020- 07- 12","11,022,000","10,968,000","11,022,000","10,946,000","0.52K","0.49%"
"2020- 07- 11","10,968,000","11,034,000","11,034,000","10,968,000","0.28K","-0.60%"
"2020- 07- 10","11,034,000","10,950,000","11,034,000","10,950,000","0.60K","0.77%"
"2020- 07- 09","10,950,000","11,128,000","11,137,000","10,950,000","0.84K","-1.57%"
"2020- 07- 08","11,125,000","10,971,000","11,125,000","10,971,000","0.69K","1.40%"
"2020- 07- 07","10,971,000","11,045,000","11,045,000","10,971,000","0.37K","-0.67%"
"2020- 07- 06","11,045,000","10,830,000","11,045,000","10,824,000","0.96K","2.00%"
"2020- 07- 05","10,828,000","10,887,000","10,898,000","10,772,000","0.52K","-0.54%"
"2020- 07- 04","10,887,000","10,834,000","10,966,000","10,806,000","0.47K","0.49%"
"2020- 07- 03","10,834,000","10,867,000","10,909,000","10,827,000","0.31K","-0.30%"
"2020- 07- 02","10,867,000","11,042,000","11,070,000","10,763,000","1.05K","-1.58%"
"2020- 07- 01","11,042,000","10,914,000","11,101,000","10,886,000","0.67K","1.17%"
"2020- 06- 30","10,914,000","10,970,000","10,989,000","10,866,000","0.37K","-0.51%"
"2020- 06- 29","10,970,000","10,960,000","11,030,000","10,822,000","0.62K","-0.03%"
"2020- 06- 28","10,973,000","10,908,000","11,061,000","10,757,000","0.46K","0.60%"
"2020- 06- 27","10,908,000","11,027,000","11,035,000","10,800,000","1.48K","-1.08%"
"2020- 06- 26","11,027,000","11,139,000","11,176,000","10,900,000","0.48K","-1.01%"
"2020- 06- 25","11,139,000","11,223,000","11,223,000","10,850,000","0.52K","-0.81%"
"2020- 06- 24","11,230,000","11,495,000","11,540,000","11,116,000","1.08K","-2.31%"
"2020- 06- 23","11,495,000","11,597,000","11,631,000","11,472,000","0.50K","-0.88%"
"2020- 06- 22","11,597,000","11,236,000","11,667,000","11,232,000","1.44K","3.21%"
"2020- 06- 21","11,236,000","11,314,000","11,359,000","11,232,000","0.35K","-0.69%"
"2020- 06- 20","11,314,000","11,281,000","11,349,000","11,152,000","0.43K","0.29%"
"2020- 06- 19","11,281,000","11,336,000","11,373,000","11,157,000","0.39K","-0.50%"
"2020- 06- 18","11,338,000","11,426,000","11,444,000","11,233,000","0.73K","-0.78%"
"2020- 06- 17","11,427,000","11,453,000","11,508,000","11,290,000","0.78K","-0.21%"
"2020- 06- 16","11,451,000","11,335,000","11,498,000","11,254,000","0.53K","1.02%"
"2020- 06- 15","11,335,000","11,243,000","11,403,000","10,770,000","1.26K","0.82%"
"2020- 06- 14","11,243,000","11,393,000","11,397,000","11,155,000","0.65K","-1.31%"
"2020- 06- 13","11,392,000","11,390,000","11,400,000","11,273,000","0.41K","-0.01%"
"2020- 06- 12","11,393,000","11,085,000","11,464,000","11,050,000","0.63K","2.82%"
"2020- 06- 11","11,080,000","11,738,000","11,797,000","11,050,000","3.41K","-5.61%"
"2020- 06- 10","11,738,000","11,686,000","11,744,000","11,591,000","0.89K","0.47%"
"2020- 06- 09","11,683,000","11,678,000","11,760,000","11,556,000","0.66K","0.03%"
"2020- 06- 08","11,680,000","11,681,000","11,723,000","11,575,000","0.54K","0.01%"
"2020- 06- 07","11,679,000","11,628,000","11,769,000","11,377,000","1.40K","0.36%"
"2020- 06- 06","11,637,000","11,602,000","11,698,000","11,523,000","0.40K","0.29%"
"2020- 06- 05","11,603,000","11,782,000","11,865,000","11,595,000","0.68K","-1.54%"
"2020- 06- 04","11,785,000","11,650,000","11,860,000","11,472,000","1.14K","1.16%"
